"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,"Link clicks",Navigation,"Sticker taps",Follows
17896408482290676,17841401475580469,nicki.entenmann,"Nicki Entenmann","What I wore today! 
All items in my closet but peep the new sneaks 👀 
Pop of brown to add fall in while it’s still hot as balls",0,"09/03/2025 13:43",https://instagram.com/stories/nicki.entenmann/3713739329740370979,"IG story",,Lifetime,23115,18476,158,0,5,22,602,19765,,
17856896061502132,17841401475580469,nicki.entenmann,"Nicki Entenmann","Got these at @walmart 
A higher protein, lower sugar,
cleaner frozen PB&J
#momwin  @getjams",0,"09/03/2025 14:24",https://instagram.com/stories/nicki.entenmann/3713759488471339916,"IG story",,Lifetime,23866,18838,205,67,9,55,,20546,36,
18381477868123944,17841401475580469,nicki.entenmann,"Nicki Entenmann","Simple dinner: 
Burrito bowls ✅",0,"09/03/2025 16:39",https://instagram.com/stories/nicki.entenmann/3713827450926223576,"IG story",,Lifetime,21533,17719,94,0,5,9,,20243,,
17972633804778704,17841401475580469,nicki.entenmann,"Nicki Entenmann","This was 4 days ago! And it’s almost gone. If you’re a sports mom this is AMAZINGGG 20% off here!  Natural, non toxic, doesn’t sting. (I use to clean my red light mask too) it’s SO good! 

The only thing I’ve ever taken time to give an Amazon review on 🤣 @activeskinrepair",42,"09/03/2025 17:02",https://instagram.com/stories/nicki.entenmann/3713839970042900140,"IG story",,Lifetime,21628,17669,48,5,5,7,368,19341,,
18142797964421735,17841401475580469,nicki.entenmann,"Nicki Entenmann","20% off!  Non toxic 
Used in hospitals and clinics 
HSA eligible
I feels random but it’s so underrated as a sports mom 

(Use on big bites, burns, scrapes, scabs, cleaning helmets for sports, red light)  @activeskinrepair",0,"09/03/2025 17:05",https://instagram.com/stories/nicki.entenmann/3713840615353307037,"IG story",,Lifetime,20874,17157,36,8,8,6,248,18779,,
18038621876680383,17841401475580469,nicki.entenmann,"Nicki Entenmann","Day 4/30
She’s back in her evening run/walk game",0,"09/03/2025 17:49",https://instagram.com/stories/nicki.entenmann/3713862984683820870,"IG story",,Lifetime,21485,17041,125,0,11,11,,19056,,
18076286450057503,17841401475580469,nicki.entenmann,"Nicki Entenmann",Rich.,16,"09/03/2025 18:08",https://instagram.com/stories/nicki.entenmann/3713872603145686741,"IG story",,Lifetime,21562,16739,229,2,18,16,,20157,,
17940563553048683,17841401475580469,nicki.entenmann,"Nicki Entenmann","@caitobrien01 was our winner! She has been dm’s and claimed prize! 
🥰🥰🥰🥰",0,"09/03/2025 19:13",https://instagram.com/stories/nicki.entenmann/3713904964424001370,"IG story",,Lifetime,19330,16328,75,0,13,4,,18254,46,
18383798020135332,17841401475580469,nicki.entenmann,"Nicki Entenmann","This weeks gifting 
still up for grabs! 
Some of my favorite 
things! 

Like & comment on this weeks ‘September reset’ reels
And comment
 ‘September’ here",0,"09/03/2025 19:16",https://instagram.com/stories/nicki.entenmann/3713906522154941888,"IG story",,Lifetime,19715,16108,206,3,429,654,,18132,,
17907234171091960,17841401475580469,nicki.entenmann,"Nicki Entenmann","Evening with bestie 🤜🏼🤛🏼",0,"09/03/2025 19:24",https://instagram.com/stories/nicki.entenmann/3713910782418576459,"IG story",,Lifetime,19722,15694,116,0,158,28,,18900,,
18108511897483746,17841401475580469,nicki.entenmann,"Nicki Entenmann",,13,"09/04/2025 08:37",https://instagram.com/stories/nicki.entenmann/3714309903612740284,"IG story",,Lifetime,17826,15728,246,3,19,78,,14990,,
17940109361935971,17841401475580469,nicki.entenmann,"Nicki Entenmann","Upper bod cuz my knee is TRASH from yesterdays run 😒",17,"09/04/2025 08:39",https://instagram.com/stories/nicki.entenmann/3714310620771603738,"IG story",,Lifetime,17303,15168,85,2,11,23,,14883,,
18099173710721731,17841401475580469,nicki.entenmann,"Nicki Entenmann",,52,"09/04/2025 09:14",https://instagram.com/stories/nicki.entenmann/3714328310517143960,"IG story",,Lifetime,17433,14927,253,1,13,198,,14428,,
18055255418167327,17841401475580469,nicki.entenmann,"Nicki Entenmann","ITS SO GOOD!! 🍏🍏 60 nutrient‑dense ingredients, including multivitamins, prebiotics, superfoods, fruits, veggies and adaptogens 
 provides 100% of your daily value (DV) of vitamins A, C, D, and E, plus additional nutrients like, biotin, iron, and zinc Over 90% of people are deficient in critical nutrients so changes are it’s probably you!! @grunsdaily #grunspartner",58,"09/04/2025 09:17",https://instagram.com/stories/nicki.entenmann/3714329946278943369,"IG story",,Lifetime,17148,15104,34,0,4,3,81,15250,,
17898300783142105,17841401475580469,nicki.entenmann,"Nicki Entenmann","Why do messy expensive powders or horse pills when you can do gummy bears! 
 Gut heath, immunity, cognitive, beauty 
They’re incredible (we do sugar free)  @grunsdaily #grunspartner",58,"09/04/2025 09:19",https://instagram.com/stories/nicki.entenmann/3714330923660832203,"IG story",,Lifetime,15844,14355,25,0,9,4,55,14630,2,
18051530741560487,17841401475580469,nicki.entenmann,"Nicki Entenmann","Obsessed with the 
new Apple flavor! Use my link for up to 52% off 
(No code needed!) @grunsdaily #grunspartner",0,"09/04/2025 09:20",https://instagram.com/stories/nicki.entenmann/3714331490361616497,"IG story",,Lifetime,15713,13978,28,3,10,2,94,14506,,
