advertiser_name,clicks,commissions,orders,items_sold,order_conversion_rate,items_sold_conversion_rate
Tommy John,1,0.00,0,0,0.000000,0.000000
Good American,311,0.00,0,0,0.000000,0.000000
Shopbop,2,0.00,0,0,0.000000,0.000000
adidas (CA),2,0.00,0,0,0.000000,0.000000
Urban Outfitters (US and RoW),9,0.00,0,0,0.000000,0.000000
Free People (Global - UK&FR Excluded),3,0.00,0,0,0.000000,0.000000
J.Crew Factory,7,0.00,0,0,0.000000,0.000000
Madewell,3,0.00,0,0,0.000000,0.000000
H&M (US + CA),4,0.00,0,0,0.000000,0.000000
Amazon (CA),6,0.00,0,0,0.000000,0.000000
UGG (US),1,0.00,0,0,0.000000,0.000000
MESHKI US,5,0.00,0,0,0.000000,0.000000
Nike (FR),1,0.00,0,0,0.000000,0.000000
Nike (IT),1,0.00,0,0,0.000000,0.000000
Nike (UK),3,0.00,0,0,0.000000,0.000000
HSN,1,0.00,0,0,0.000000,0.000000
Cuyana,2,0.00,0,0,0.000000,0.000000
Gap (CA),1,0.00,0,0,0.000000,0.000000
